,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
531,D'Angelo Russell,TOT,45,1452,23,360,846,1039,147,285,17,160,177,48,161,199,13
532,D'Angelo Russell,GSW,33,1060,23,273,635,779,101,206,14,108,122,31,113,144,9
533,D'Angelo Russell,MIN,12,392,23,87,211,260,46,79,3,52,55,17,48,55,4
534,Domantas Sabonis,IND,62,2159,23,458,848,1147,170,310,189,582,771,47,214,296,30
535,Luka Šamanić,SAS,3,48,20,5,16,16,2,6,1,9,10,0,3,4,2
536,JaKarr Sampson,IND,34,471,26,68,115,156,15,21,20,68,88,16,18,27,12
537,Dario Šarić,PHO,66,1632,25,256,538,704,88,123,100,306,406,37,108,128,16
538,Tomáš Satoranský,CHI,65,1878,28,237,551,644,130,354,76,178,254,80,106,121,7
539,Admiral Schofield,WAS,33,368,22,35,92,99,7,15,7,40,47,8,10,15,4
540,Dennis Schröder,OKC,65,1999,26,453,965,1229,166,262,19,217,236,45,198,236,14
541,Mike Scott,PHI,68,1207,31,149,350,408,26,56,65,183,248,21,30,37,5
542,Thabo Sefolosha,HOU,41,436,35,37,91,92,15,25,21,72,93,24,3,8,12
543,Collin Sexton,CLE,65,2143,21,513,1086,1349,158,192,61,143,204,65,226,267,7
544,Landry Shamet,LAC,53,1452,22,158,391,492,42,99,6,94,100,20,65,76,10
545,Marial Shayok,PHI,4,28,24,3,12,11,3,1,1,6,7,0,3,4,1
546,Iman Shumpert,BRK,13,241,29,21,64,54,10,12,9,25,34,12,4,7,2
547,Pascal Siakam,TOR,60,2110,25,500,1104,1371,148,207,64,375,439,61,240,303,53
548,Chris Silva,MIA,44,346,23,48,78,133,32,23,60,66,126,9,37,55,21
549,Ben Simmons,PHI,57,2017,23,375,647,937,200,455,113,331,444,119,185,298,33
550,Anfernee Simons,POR,70,1449,20,214,536,579,61,97,25,127,152,26,76,92,10
551,Alen Smailagić,GSW,14,139,19,20,40,59,11,13,10,17,27,3,16,19,4
552,Marcus Smart,BOS,60,1919,25,256,682,776,103,291,42,183,225,101,127,152,29
553,Dennis Smith Jr.,NYK,34,537,22,72,211,187,58,98,21,57,78,28,27,53,8
554,Ish Smith,WAS,68,1787,31,308,689,740,95,334,30,189,219,59,62,86,30
555,J.R. Smith,LAL,6,79,34,7,22,17,4,3,0,5,5,1,2,2,0
556,Zhaire Smith,PHI,7,32,20,3,11,8,2,2,0,2,2,3,2,4,0
557,Tony Snell,DET,59,1641,28,170,382,474,31,127,9,102,111,32,32,32,15
558,Omari Spellman,GSW,49,886,22,127,295,370,54,47,77,142,219,33,73,92,24
559,Max Strus,CHI,2,6,23,2,3,5,0,0,1,0,1,0,1,1,0
560,Edmond Sumner,IND,31,447,24,61,142,152,22,55,11,35,46,15,16,29,9
561,Caleb Swanigan,TOT,27,288,22,28,47,65,37,31,27,73,100,3,9,17,7
562,Caleb Swanigan,SAC,7,23,22,2,4,5,6,2,2,5,7,1,1,2,2
563,Caleb Swanigan,POR,20,265,22,26,43,60,31,29,25,68,93,2,8,15,5
564,Jayson Tatum,BOS,66,2265,21,552,1226,1547,155,200,64,396,460,93,254,313,57
565,Jeff Teague,TOT,59,1464,31,213,489,641,116,308,27,115,142,44,172,197,19
566,Jeff Teague,MIN,34,945,31,145,324,448,76,208,15,73,88,25,125,144,13
567,Jeff Teague,ATL,25,519,31,68,165,193,40,100,12,42,54,19,47,53,6
568,Garrett Temple,BRK,62,1730,33,222,587,641,62,156,29,189,218,49,70,87,29
569,Daniel Theis,BOS,65,1566,27,241,426,601,54,111,140,286,426,37,87,114,84
570,Isaiah Thomas,WAS,40,925,30,174,426,488,77,146,11,57,68,13,62,76,6
571,Khyri Thomas,DET,8,61,23,5,17,17,3,3,1,0,1,3,2,4,0
572,Lance Thomas,BRK,7,98,31,8,23,24,6,6,2,11,13,0,4,4,0
573,Matt Thomas,TOR,41,440,25,73,150,202,16,22,9,52,61,10,9,12,1
574,Tristan Thompson,CLE,57,1721,28,288,562,684,103,120,226,351,577,33,99,161,50
575,Sindarius Thornwell,NOP,2,35,25,6,11,16,2,4,0,4,4,1,2,4,1
