,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
45,Jordan Bell,TOT,29,256,25,35,67,93,21,16,30,51,81,3,19,31,10
46,Jordan Bell,MIN,27,235,25,32,60,83,18,14,28,50,78,2,17,29,10
47,Jordan Bell,MEM,2,21,25,3,7,10,3,2,2,1,3,1,2,2,0
48,DeAndre' Bembry,ATL,43,915,25,104,228,249,60,81,34,118,152,55,26,48,19
49,Dragan Bender,TOT,16,286,22,41,92,107,21,28,16,57,73,4,10,14,9
50,Dragan Bender,MIL,7,91,22,10,21,26,5,9,0,20,20,0,2,3,5
51,Dragan Bender,GSW,9,195,22,31,71,81,16,19,16,37,53,4,8,11,4
52,Dāvis Bertāns,WAS,54,1583,27,265,610,834,59,92,35,210,245,37,104,122,33
53,Patrick Beverley,LAC,51,1342,31,147,341,405,66,183,57,209,266,54,31,47,25
54,Khem Birch,ORL,48,922,27,73,143,212,31,50,91,129,220,20,66,101,23
55,Goga Bitadze,IND,54,471,20,70,150,172,28,23,25,81,106,10,24,33,37
56,Bismack Biyombo,CHO,53,1029,27,151,278,393,48,50,120,188,308,10,91,151,49
57,Nemanja Bjelica,SAC,72,2011,31,314,653,831,99,203,111,347,458,62,69,84,40
58,Eric Bledsoe,MIL,61,1646,30,334,703,911,148,328,43,239,282,57,169,214,26
59,Bogdan Bogdanović,SAC,61,1766,27,337,766,924,102,207,26,181,207,64,86,116,15
60,Bojan Bogdanović,UTA,63,2083,30,418,935,1275,159,131,39,220,259,34,250,277,7
61,Bol Bol,DEN,7,87,20,14,28,40,10,6,5,14,19,2,8,10,6
62,Jonah Bolden,TOT,7,47,24,4,11,10,2,0,3,6,9,3,2,4,2
63,Jonah Bolden,PHI,4,14,24,2,3,4,2,0,0,1,1,1,0,2,0
64,Jonah Bolden,PHO,3,33,24,2,8,6,0,0,3,5,8,2,2,2,2
65,Marques Bolden,CLE,1,3,21,0,0,0,0,0,0,2,2,1,0,0,0
66,Jordan Bone,DET,10,53,22,5,20,12,2,8,0,4,4,1,0,0,0
67,Isaac Bonga,WAS,66,1250,20,118,234,330,58,76,71,151,222,45,69,85,22
68,Devin Booker,PHO,70,2512,23,627,1283,1863,264,456,29,268,297,49,468,509,18
69,Chris Boucher,TOR,62,819,27,141,299,411,28,26,107,170,277,22,91,116,61
70,Brian Bowen,IND,6,31,21,3,10,6,1,0,1,6,7,0,0,0,1
