,Player,Salary
504,Matt Mooney,"85,578"
505,Tyler Hall,"53,176"
506,Kemba Walker,"26,238,422"
507,Derrick Favors,"9,720,900"
508,Josh Giddey,"5,988,000"
509,Shai Gilgeous-Alexander,"5,495,532"
510,Mike Muscala,"3,500,000"
511,Aleksej Pokusevski,"3,113,160"
512,Tre Mann,"2,901,240"
513,Darius Bazley,"2,513,040"
514,Ty Jerome,"2,412,840"
515,Jeremiah Robinson-Earl,"2,000,000"
516,Kenrich Williams,"2,000,000"
517,Théo Maledon,"2,000,000"
518,KZ Okpala,"1,782,621"
519,Isaiah Roby,"1,782,621"
520,Luguentz Dort,"1,782,621"
521,Gabriel Deck,"1,690,507"
522,Aaron Wiggins,"1,000,000"
523,Kyle Singler,"999,200"
524,Vit Krejci,"925,258"
525,Miye Oni,"850,331"
526,Patrick Patterson,"737,066"
527,Admiral Schofield,"300,000"
528,Mamadi Diakite,"100,000"
529,Scotty Hopson,"99,380"
530,Jaylen Hoard,"95,930"
531,Jaylen Hoard,"95,930"
532,Mamadi Diakite,"85,578"
533,Mamadi Diakite,"85,578"
534,Mamadi Diakite,"85,578"
535,Olivier Sarr,"53,176"
536,Rob Edwards,"53,176"
537,Olivier Sarr,"53,176"
538,Georgios Kalaitzakis,"53,176"
539,Zavier Simpson,"53,176"
540,Gary Harris,"20,482,143"
541,Jonathan Isaac,"17,400,000"
542,Markelle Fultz,"16,500,000"
543,Terrence Ross,"12,500,000"
544,Mo Bamba,"7,568,742"
545,Wendell Carter Jr.,"6,920,027"
546,Jalen Suggs,"6,593,040"
547,Timofey Mozgov,"5,573,334"
548,Franz Wagner,"5,007,840"
549,Robin Lopez,"5,000,000"
550,Cole Anthony,"3,449,400"
551,Chuma Okeke,"3,277,080"
552,Michael Carter-Williams,"3,000,000"
553,E'Twaun Moore,"2,641,691"
554,R.J. Hampton,"2,303,040"
555,Bol Bol,"2,161,152"
556,PJ Dozier,"1,910,860"
557,Moritz Wagner,"1,729,217"
